text,type,department
"Добрый день. Обращаюсь с жалобой по адресу ул. Школьная, д. 15, кв. 14: кусты заросли уже 4 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №2: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"НА ПЛОЩАДКЕ СЛОМАНЫ КАЧЕЛИ, ДЕТИ НЕ МОГУТ ИГРАТЬ",сообщение о неисправности,Благоустройство
Прошу выдать направление в специализированное медучреждение для получения льготных лекарств. Амбулаторная карта находится в поликлинике №10.,заявление/ходатайство,Здравоохранение
"Здравствуйте! Во дворе по адресу ул. Школьная, д. 97, кв. 54 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
Прошу выдать направление в специализированное медучреждение для оформления инвалидности ребёнку. Амбулаторная карта находится в поликлинике №1.,заявление/ходатайство,Здравоохранение
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №1: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Прошу включить территорию у дома ул. Садовая, д. 62, кв. 75 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"  нет горячей воды второй день, дом 8 по ул. Победы  ",сообщение о неисправности,ЖКХ
в аптеке при поликлинике нет льготных лекарств,запрос информации,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Лесная, д. 32, кв. 5, и кто её оплачивает.",запрос информации,ЖКХ
в аптеке при поликлинике нет льготных лекарств,запрос информации,Здравоохранение
"в подъезде течёт крыша, вода капает на лестницу",сообщение о неисправности,ЖКХ
"Прошу включить мой двор (ул. Школьная, д. 59, кв. 83) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Советская, д. 65, кв. 70 в связи с временной потерей дохода. Документы могу приложить. Заранее спасибо.",заявление/ходатайство,ЖКХ
Выражаю благодарность врачу поликлиники №10 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Спасибо сотрудникам района за уборку территории у ул. Садовая, д. 88, кв. 55 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
"Прошу включить территорию у дома ул. Лесная, д. 43, кв. 60 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Центральная, д. 16, кв. 1, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями. Заранее спасибо.",предложение,ЖКХ
"Сообщаю: на детской площадке возле ул. Лесная, д. 44, кв. 89 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Карла Маркса д. 53 кв. 36 сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.,предложение,ЖКХ
"Здравствуйте! Во дворе по адресу пр. Мира, д. 97, кв. 7 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"  лампа во дворе не горит уже неделю, адрес ул. Ленина 12  ",сообщение о неисправности,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №12: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Победы, д. 57, кв. 2 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №2: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Парковая, д. 35, кв. 21 в связи с временной потерей дохода. Документы могу приложить. Заранее спасибо.",заявление/ходатайство,ЖКХ
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме пр. Мира, д. 47, кв. 26 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Прошу выдать направление в специализированное медучреждение для получения льготных лекарств. Амбулаторная карта находится в поликлинике №14.,заявление/ходатайство,Здравоохранение
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
  свет отключают по вечерам без предупреждения  ,сообщение о неисправности,ЖКХ
"Здравствуйте! Во дворе по адресу наб. Реки, д. 63, кв. 4 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"  яма на дороге перед домом, машины бьются  ",сообщение о неисправности,Благоустройство
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"Прошу включить территорию у дома наб. Реки, д. 76, кв. 26 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают. Заранее спасибо.",заявление/ходатайство,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме пр. Мира, д. 105, кв. 75 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме пр. Мира д. 22 кв. 36 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №2 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №4: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу ул. Лесная, д. 85, кв. 25: лифт постоянно застревает уже 7 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №2 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №3 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Лесная, д. 79, кв. 80, и кто её оплачивает.",запрос информации,ЖКХ
Добрый день. Обращаюсь с жалобой по адресу ул. Лесная д. 115 кв. 14: лифт постоянно застревает уже 5 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.,жалоба,ЖКХ
"Прошу включить территорию у дома наб. Реки, д. 45, кв. 76 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
В ПОЛИКЛИНИКЕ НЕ БЕРУТ ТРУБКУ УЖЕ ТРЕТИЙ ДЕНЬ,сообщение о неисправности,Здравоохранение
в поликлинике не берут трубку уже третий день,сообщение о неисправности,Здравоохранение
Прошу включить мой двор (пр. Мира д. 18 кв. 39) в список на зимнюю уборку и обработку реагентами так как тротуар сильно обледеневает.,запрос услуги,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Парковая, д. 39, кв. 88, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
Прошу включить территорию у дома ул. Советская д. 115 кв. 69 в план благоустройства на 2026 год (асфальтирование лавочки урны). Жильцы инициативу поддерживают.,заявление/ходатайство,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Карла Маркса, д. 103, кв. 46: лампа во дворе не горит уже 5 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Спасибо сотрудникам района за уборку территории у пр. Мира, д. 88, кв. 82 и покос травы — стало гораздо чище.",благодарность,Благоустройство
Спасибо сотрудникам района за уборку территории у ул. Советская д. 91 кв. 39 и покос травы — стало гораздо чище.,благодарность,Благоустройство
в поликлинике не берут трубку уже третий день,жалоба,Здравоохранение
"Сообщаю: на детской площадке возле ул. Лесная, д. 47, кв. 72 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"яма на дороге перед домом, машины бьются",сообщение о неисправности,Благоустройство
"Предлагаю организовать в нашем доме ул. Центральная, д. 100, кв. 19 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Карла Маркса, д. 38, кв. 32, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №7: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат. Заранее спасибо.",жалоба,Здравоохранение
"  двор зарос травой, просьба покосить  ",жалоба,Благоустройство
Сообщаю о неисправности электронной очереди в поликлинике №2 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Центральная д. 69 кв. 44 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №7.,заявление/ходатайство,Здравоохранение
в поликлинике не берут трубку уже третий день,жалоба,Здравоохранение
  свет отключают по вечерам без предупреждения  ,сообщение о неисправности,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №12 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №3 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
  В АПТЕКЕ ПРИ ПОЛИКЛИНИКЕ НЕТ ЛЬГОТНЫХ ЛЕКАРСТВ  ,запрос информации,Здравоохранение
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №7.,заявление/ходатайство,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Центральная, д. 84, кв. 12, и кто её оплачивает.",запрос информации,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
Прошу выдать направление в специализированное медучреждение для получения льготных лекарств. Амбулаторная карта находится в поликлинике №15.,заявление/ходатайство,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Карла Маркса, д. 88, кв. 22 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Парковая, д. 48, кв. 63, и кто её оплачивает.",запрос информации,ЖКХ
"Сообщаю о неисправности: в подъезде по адресу ул. Центральная, д. 88, кв. 46 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
Сообщаю: на детской площадке возле наб. Реки д. 46 кв. 29 сломаны качели (отошла перекладина) дети могут травмироваться. Просьба отремонтировать/огородить.,сообщение о неисправности,Благоустройство
Подскажите пожалуйста когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?,запрос информации,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Карла Маркса, д. 13, кв. 23 в связи с временной потерей дохода. Документы могу приложить. Заранее спасибо.",заявление/ходатайство,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Центральная, д. 119, кв. 59 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №12: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ? Заранее спасибо.",запрос информации,Благоустройство
Выражаю благодарность врачу поликлиники №12 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №10 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
Выражаю благодарность врачу поликлиники №5 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
в аптеке при поликлинике нет льготных лекарств,запрос информации,Здравоохранение
  в аптеке при поликлинике нет льготных лекарств  ,запрос информации,Здравоохранение
"Сообщаю о неисправности: в подъезде по адресу ул. Школьная, д. 8, кв. 48 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу. Заранее спасибо.",сообщение о неисправности,ЖКХ
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу включить мой двор (ул. Лесная, д. 72, кв. 53) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает. Заранее спасибо.",запрос услуги,Благоустройство
  СВЕТ ОТКЛЮЧАЮТ ПО ВЕЧЕРАМ БЕЗ ПРЕДУПРЕЖДЕНИЯ  ,сообщение о неисправности,ЖКХ
"Сообщаю о неисправности: в подъезде по адресу пр. Мира, д. 12, кв. 15 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу. Заранее спасибо.",сообщение о неисправности,ЖКХ
"Сообщаю: на детской площадке возле ул. Лесная, д. 8, кв. 46 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
Сообщаю о неисправности электронной очереди в поликлинике №5 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"ЛАМПА ВО ДВОРЕ НЕ ГОРИТ УЖЕ НЕДЕЛЮ, АДРЕС УЛ. ЛЕНИНА 12",сообщение о неисправности,Благоустройство
"В ПОДЪЕЗДЕ ТЕЧЁТ КРЫША, ВОДА КАПАЕТ НА ЛЕСТНИЦУ",сообщение о неисправности,ЖКХ
Спасибо сотрудникам района за уборку территории у ул. Садовая д. 93 кв. 6 и покос травы — стало гораздо чище.,благодарность,Благоустройство
"Прошу записать меня на приём к терапевту в поликлинику №9 и оформить направление к узкому специалисту, так как через портал не получается. Заранее спасибо.",запрос услуги,Здравоохранение
"в подъезде течёт крыша, вода капает на лестницу",сообщение о неисправности,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №4 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Предлагаю организовать в нашем доме ул. Победы, д. 9, кв. 12 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ? Заранее спасибо.",запрос информации,Благоустройство
"Предлагаю организовать в нашем доме наб. Реки, д. 65, кв. 59 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат. Заранее спасибо.",предложение,Благоустройство
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу пр. Мира, д. 17, кв. 90, и кто её оплачивает.",запрос информации,ЖКХ
Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Лесная д. 38 кв. 26 сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.,предложение,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу наб. Реки, д. 67, кв. 54 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №14: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат. Заранее спасибо.",жалоба,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №4: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Карла Маркса д. 6 кв. 18 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
"Прошу включить мой двор (ул. Центральная, д. 38, кв. 89) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №12: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Школьная д. 29 кв. 48 в связи с временной потерей дохода. Документы могу приложить.,заявление/ходатайство,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №3 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Подскажите пожалуйста когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?,запрос информации,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"ЛАМПА ВО ДВОРЕ НЕ ГОРИТ УЖЕ НЕДЕЛЮ, АДРЕС УЛ. ЛЕНИНА 12",сообщение о неисправности,Благоустройство
"на площадке сломаны качели, дети не могут играть",сообщение о неисправности,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Советская, д. 113, кв. 34, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Советская, д. 99, кв. 69 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
Спасибо сотрудникам района за уборку территории у ул. Школьная д. 110 кв. 55 и покос травы — стало гораздо чище.,благодарность,Благоустройство
Прошу выдать направление в специализированное медучреждение для прохождения плановой операции. Амбулаторная карта находится в поликлинике №12.,заявление/ходатайство,Здравоохранение
"Сообщаю о неисправности: в подъезде по адресу ул. Центральная, д. 73, кв. 85 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Центральная д. 41 кв. 53 радиаторы греют не полностью. Готова быть дома в будни после 18:00.,запрос услуги,ЖКХ
Подскажите пожалуйста когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?,запрос информации,Благоустройство
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Школьная д. 19 кв. 54 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием какие нужны документы и куда их подавать.,запрос информации,Здравоохранение
Прошу включить территорию у дома ул. Парковая д. 92 кв. 44 в план благоустройства на 2026 год (асфальтирование лавочки урны). Жильцы инициативу поддерживают.,заявление/ходатайство,Благоустройство
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома пр. Мира, д. 74, кв. 18, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №9: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"  в подъезде течёт крыша, вода капает на лестницу  ",сообщение о неисправности,ЖКХ
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
Выражаю благодарность врачу поликлиники №7 за внимательное отношение и подробные разъяснения по лечению. Заранее спасибо.,благодарность,Здравоохранение
"Прошу включить территорию у дома ул. Карла Маркса, д. 20, кв. 73 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Предлагаю организовать в нашем доме ул. Лесная, д. 57, кв. 41 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
Выражаю благодарность врачу поликлиники №3 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №1 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
Сообщаю о неисправности электронной очереди в поликлинике №7 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Прошу выдать направление в специализированное медучреждение для оформления инвалидности ребёнку. Амбулаторная карта находится в поликлинике №12.,заявление/ходатайство,Здравоохранение
